light,ax,ay,az,gx,gy,gz,label
2328,0.0219,-0.0079,1.0065,-0.2441,0.1221,-0.1221,brightshaky
2327,0.0222,-0.0083,1.007,-0.2441,0.061,-0.1831,brightshaky
2326,0.0216,-0.0083,1.0072,-0.3052,0.1831,-0.1831,brightshaky
2325,0.0226,-0.0083,1.0073,-0.3052,0.2441,-0.061,brightshaky
2325,0.0219,-0.0079,1.0067,-0.2441,0.2441,-0.061,brightshaky
2316,-0.0234,-0.0107,1.0033,-1.0986,-1.4038,-32.2266,brightshaky
2338,-0.1133,0.0123,1.0099,1.8311,5.9204,89.9048,brightshaky
2297,0.0883,-0.0481,1.0236,3.0518,15.8691,76.5381,brightshaky
2284,0.1071,-0.0216,1.0309,-1.2207,-13.0615,29.0527,brightshaky
2232,0.0476,-0.0771,1.0057,-1.4648,-5.127,-17.395,brightshaky
2209,0.0502,-0.0145,1.0084,-1.2207,-0.3052,-0.9766,brightshaky
2231,0.0464,-0.0051,0.9994,0.3662,0.3052,12.7563,brightshaky
2209,0.0609,-0.0197,1.0106,-1.4648,-1.1597,-19.165,brightshaky
2232,0.0487,-0.0167,1.0083,-0.6104,-9.8267,2.0142,brightshaky
2226,0.0557,-0.0112,0.9979,-0.3052,0.3052,-0.1831,brightshaky
2220,0.0565,-0.0107,1.0023,-0.6104,-1.4648,-5.3711,brightshaky
2237,0.0433,-0.0065,1.0062,0.1221,1.8921,12.207,brightshaky
2226,0.0787,0.0042,0.9999,-0.3052,-0.8545,-2.0752,brightshaky
2242,0.0394,-0.0066,1.0087,-0.1831,0.7324,5.9814,brightshaky
2223,0.0601,-0.0225,1.0134,-1.2817,-4.8828,-18.4937,brightshaky
2244,0.0912,-0.0229,1.006,0.9155,2.6245,20.2637,brightshaky
2224,0.0671,-0.025,1.0015,-2.1973,-4.6387,-36.5601,brightshaky
2243,0.0275,0.0007,1.0094,1.0986,3.1128,30.7007,brightshaky
2222,0.0116,-0.0065,1.0151,-1.4038,-3.0518,-24.9023,brightshaky
2245,0.0951,-0.0354,1.0245,0.3662,-0.3052,15.2588,brightshaky
2220,0.0276,-0.0028,1.0248,-0.3052,8.728,-2.2583,brightshaky
2238,0.0463,-0.0104,0.999,-0.1831,-0.1221,-0.061,brightshaky
2239,0.0344,-0.0159,1.0151,-0.5493,-0.3662,-0.7935,brightshaky
2236,0.0361,-0.0093,1.0057,-0.1831,-1.8921,0.5493,brightshaky
2239,0.05,-0.012,1.0087,-0.3052,-0.4272,0.4272,brightshaky
2225,0.068,-0.016,0.9978,-0.5493,0.1831,-5.4932,brightshaky
2228,0.0468,-0.0095,1.0052,-0.2441,-0.7324,-0.061,brightshaky
2218,0.056,-0.0131,1.0021,-0.4883,-0.1221,-3.2349,brightshaky
2240,0.0355,-0.0046,1.0117,0.1221,2.4414,12.3901,brightshaky
2245,0.0529,-0.0063,1.007,0.061,0.061,11.1694,brightshaky
2229,0.0542,-0.0336,0.9991,-1.2817,-2.8687,-25.3906,brightshaky
2241,0.0455,-0.0133,0.9996,-0.4272,-6.0425,0.9155,brightshaky
2226,-0.001,0.0217,0.9819,-1.77,-0.6104,-29.8462,brightshaky
2224,0.056,-0.0173,1.0089,-0.5493,-0.8545,-5.9814,brightshaky
2241,0.0144,-0.0115,1.0134,0.4272,1.9531,12.3291,brightshaky
2245,0.0447,-0.0088,1.0061,-0.1831,0.3052,-0.1221,brightshaky
2240,0.0438,-0.0088,1.0083,-0.3052,0.061,-0.061,brightshaky
2197,0.0448,0.0347,1.0415,-4.2725,-2.8076,-84.5947,brightshaky
2202,0.0367,0.0205,1.005,1.5259,7.4463,34.0576,brightshaky
2169,0.0414,-0.0295,1.027,-2.5635,-8.3618,-41.2598,brightshaky
2193,0.0544,-0.0054,0.9968,0.061,-3.1128,2.7466,brightshaky
2199,0.0422,-0.007,1.0034,0.6714,3.1738,12.8784,brightshaky
2208,0.032,-0.0062,1.0106,0.3662,2.5024,9.3994,brightshaky
2204,0.0555,-0.0104,1.0011,0,-4.4556,0.061,brightshaky
2092,0.1206,0.0236,0.9916,0.3662,17.9443,-1.5259,brightshaky
2019,0.1349,-0.024,0.9963,-0.7935,-7.6294,2.6245,brightshaky
2114,0.0923,0.005,1.0176,0.7324,0.5493,11.7798,brightshaky
2081,0.1118,-0.015,0.9871,-2.6245,0.1831,-18.0664,brightshaky
2125,0.0681,0.0128,0.9988,4.0283,2.7466,49.2554,brightshaky
2099,0.1395,-0.0674,0.9847,-1.2207,-5.7983,0.8545,brightshaky
2105,0.0841,0.0105,1.0139,-1.0986,18.1885,-13.7329,brightshaky
2099,0.0957,-0.033,1.0055,0.3662,-2.1362,13.3667,brightshaky
2086,0.1396,-0.014,0.9824,-1.0376,-2.6855,-2.1973,brightshaky
2081,0.1023,-0.0355,1.0012,-1.0986,-6.2866,0.1831,brightshaky
2078,0.1071,-0.0258,0.9948,-0.7935,0.2441,-6.2256,brightshaky
2086,0.0958,-0.0089,1.0043,-0.3662,0.1221,-0.1831,brightshaky
2088,0.0924,-0.009,1.0068,-0.1221,1.2207,-0.1221,brightshaky
2087,0.101,-0.0092,0.9943,-0.4883,3.9062,-0.5493,brightshaky
2090,0.0989,-0.0139,1.0024,0,-6.3477,3.479,brightshaky
2101,0.0859,-0.0068,1.0149,-0.3052,0.8545,-2.1362,brightshaky
2090,0.09,-0.0134,1.0117,-0.2441,-5.9204,2.9297,brightshaky
2092,0.1007,-0.0029,0.9951,-0.2441,5.6763,-5.3711,brightshaky
2101,0.1042,-0.0308,1.0063,0.3052,-4.0283,13.4277,brightshaky
2095,0.0944,-0.0022,1.0062,-0.2441,5.127,-4.6387,brightshaky
2087,0.0953,-0.0098,1.0026,-0.3052,-1.0986,0.2441,brightshaky
2113,0.0936,-0.0037,0.9979,0.1221,0.9155,1.4038,brightshaky
2080,0.1355,-0.0018,0.9941,-3.9673,-2.3193,-38.0859,brightshaky
2100,0.0717,-0.0236,0.999,3.6621,3.8452,37.5977,brightshaky
2114,0.0933,-0.0089,1.0165,0.061,-1.9531,-1.5869,brightshaky
2116,0.0596,0.0042,1.0111,1.2207,1.8311,13.916,brightshaky
2096,0.1025,-0.0237,0.9998,-1.709,-4.1504,-11.4746,brightshaky
2092,0.1038,-0.0126,1.0001,-0.1831,-3.6621,0.6714,brightshaky
2112,0.0942,-0.0087,1.0059,0.3662,0.4272,6.8359,brightshaky
2116,0.0858,-0.0092,1.0114,-0.061,0.7935,-0.1831,brightshaky
2086,0.1105,-0.0135,0.9946,-1.3428,-2.4414,-11.8408,brightshaky
2119,0.0848,-0.0046,1.0013,0,-0.6714,3.6621,brightshaky
2089,0.0923,-0.0005,1.0042,-2.4414,-1.5259,-23.4985,brightshaky
2109,0.114,-0.0331,0.9984,1.1597,-0.061,17.6392,brightshaky
2097,0.0886,-0.0037,1.0107,-0.9155,5.6152,-8.4839,brightshaky
2079,0.0969,-0.0083,1.0004,-1.0986,1.2207,-9.2773,brightshaky
2102,0.1123,-0.04,1.0127,1.2207,-4.3945,18.7988,brightshaky
2081,0.0663,0.0321,0.9951,-3.479,-1.4648,-32.5317,brightshaky
2093,0.1008,-0.0195,0.9886,-0.061,-4.9438,0.1831,brightshaky
2110,0.0975,-0.0122,1.0039,0.3662,2.5024,5.8594,brightshaky
2085,0.1239,-0.0377,0.9972,-4.0283,-4.3945,-34.8511,brightshaky
2076,0.1287,-0.0177,0.9971,-2.8076,-2.1973,-28.1372,brightshaky
2094,0.11,-0.002,1.0017,0.3662,3.2959,4.9438,brightshaky
2075,0.0634,-0.0717,1.0099,-1.0986,4.1504,-11.9019,brightshaky
2052,0.0616,-0.0059,1.0066,-2.0142,-0.7935,-14.3433,brightshaky
2073,0.1055,-0.0066,0.9915,2.4414,4.6387,25.1465,brightshaky
2076,0.0957,-0.0142,1.0027,-0.2441,-0.3052,-1.2817,brightshaky
2057,0.1052,-0.0143,1.0067,-1.4648,0.2441,-9.8877,brightshaky
2079,0.1086,-0.0219,1.0157,1.1597,-1.4038,10.2539,brightshaky
2071,0.0985,-0.0096,1.0065,-0.6104,4.2114,-0.3662,brightshaky
2055,0.0979,-0.0104,1.0083,-0.1221,0.4883,1.0376,brightshaky
2075,0.1106,-0.0127,0.9913,1.709,0.7935,17.8223,brightshaky
2072,0.0977,-0.0095,1.0106,-0.4883,3.2349,-0.3662,brightshaky
2055,0.1051,-0.0117,0.9988,-1.4648,-0.1221,-12.5122,brightshaky
2056,0.1057,-0.0161,0.9967,-0.1831,-4.7607,2.7466,brightshaky
2089,0.1,-0.0054,0.9994,1.6479,2.4414,24.7803,brightshaky
2053,0.1176,-0.002,1.0256,-3.418,7.5073,-30.5176,brightshaky
1995,0.1257,-0.0115,1.0029,0.061,0,2.6245,brightshaky
2095,0.0739,-0.0233,1.0265,1.8311,-0.1831,21.3623,brightshaky
2033,0.0942,-0.0267,1.0094,-4.8218,18.5547,-41.2598,brightshaky
